Signature	Cell type	Annotation	Pvalue	FDR
Disease-state	pDC	PPAR signaling pathway	0.00048	0.025
Disease-state	pDC	Antigen processing and presentation	0.00059	0.026
Disease-state	pDC	Glycolysis / Gluconeogenesis	0.00092	0.036
Disease-state	pDC	Spinocerebellar ataxia	0.0024	0.084
Disease-state	pDC	NOD-like receptor signaling pathway	0.0035	0.11
Disease-state	pDC	Biosynthesis of amino acids	0.0053	0.15
Disease-state	pDC	Human immunodeficiency virus 1 infection	0.0059	0.15
Disease-state	pDC	Necroptosis	0.0075	0.18
Disease-state	pDC	Parkinson disease	0.011	0.24
Disease-state	pDC	Prostate cancer	0.013	0.27
Disease-state	pDC	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.021	0.41
Disease-state	pDC	Viral carcinogenesis	0.023	0.41
Disease-state	pDC	Kaposi sarcoma-associated herpesvirus infection	0.024	0.41
Disease-state	pDC	Steroid biosynthesis	0.026	0.43
Disease-state	pDC	Apoptosis	0.034	0.48
Disease-state	pDC	Lipid and atherosclerosis	0.039	0.48
Disease-state	pDC	Pyruvate metabolism	0.039	0.48
Disease-state	pDC	Natural killer cell mediated cytotoxicity	0.04	0.48
Disease-state	pDC	Prion disease	0.04	0.48
Disease-state	pDC	Human papillomavirus infection	0.041	0.48
Disease-state	pDC	Aminoacyl-tRNA biosynthesis	0.042	0.48
Disease-state	pDC	Adipocytokine signaling pathway	0.043	0.48
Disease-state	pDC	Viral myocarditis	0.043	0.48
Disease-state	pDC	Transcriptional misregulation in cancer	0.046	0.49
Disease-state	pDC	Apoptosis - multiple species	0.047	0.49
Disease-state	Neu	Coronavirus disease - COVID-19	3.3e-10	1.1e-07
Disease-state	Neu	Influenza A	8.2e-09	1.3e-06
Disease-state	Neu	NOD-like receptor signaling pathway	3.3e-07	3.5e-05
Disease-state	Neu	Ribosome	1.7e-05	0.0013
Disease-state	Neu	Necroptosis	6.1e-05	0.0037
Disease-state	Neu	Epstein-Barr virus infection	6.9e-05	0.0037
Disease-state	Neu	PD-L1 expression and PD-1 checkpoint pathway in cancer	8.2e-05	0.0038
Disease-state	Neu	Salmonella infection	0.00031	0.012
Disease-state	Neu	Measles	0.0004	0.014
Disease-state	Neu	Hepatitis C	0.00081	0.026
Disease-state	Neu	Sphingolipid signaling pathway	0.001	0.03
Disease-state	Neu	Chemical carcinogenesis - reactive oxygen species	0.0017	0.038
Disease-state	Neu	Apoptosis	0.0017	0.038
Disease-state	Neu	Autophagy - animal	0.0018	0.038
Disease-state	Neu	Longevity regulating pathway - multiple species	0.0019	0.038
Disease-state	Neu	Lipid and atherosclerosis	0.0019	0.038
Disease-state	Neu	Type II diabetes mellitus	0.002	0.038
Disease-state	Neu	Neutrophil extracellular trap formation	0.0022	0.039
Disease-state	Neu	Shigellosis	0.0032	0.051
Disease-state	Neu	AMPK signaling pathway	0.0032	0.051
Disease-state	Neu	Lysosome	0.005	0.076
Disease-state	Neu	Sphingolipid metabolism	0.0054	0.077
Disease-state	Neu	Fc epsilon RI signaling pathway	0.0055	0.077
Disease-state	Neu	Toll-like receptor signaling pathway	0.006	0.08
Disease-state	Neu	TNF signaling pathway	0.0074	0.094
Disease-state	Neu	Pancreatic cancer	0.0099	0.12
Disease-state	Neu	Longevity regulating pathway	0.013	0.15
Disease-state	Neu	Leishmaniasis	0.014	0.16
Disease-state	Neu	Ribosome biogenesis in eukaryotes	0.016	0.18
Disease-state	Neu	RIG-I-like receptor signaling pathway	0.018	0.18
Disease-state	Neu	EGFR tyrosine kinase inhibitor resistance	0.018	0.18
Disease-state	Neu	Human immunodeficiency virus 1 infection	0.02	0.19
Disease-state	Neu	Transcriptional misregulation in cancer	0.02	0.19
Disease-state	Neu	Tuberculosis	0.02	0.19
Disease-state	Neu	Progesterone-mediated oocyte maturation	0.024	0.22
Disease-state	Neu	Staphylococcus aureus infection	0.025	0.22
Disease-state	Neu	Acute myeloid leukemia	0.029	0.25
Disease-state	Neu	Apoptosis - multiple species	0.034	0.27
Disease-state	Neu	Cytosolic DNA-sensing pathway	0.034	0.27
Disease-state	Neu	Platinum drug resistance	0.034	0.27
Disease-state	Neu	Non-alcoholic fatty liver disease	0.035	0.27
Disease-state	Neu	Yersinia infection	0.036	0.27
Disease-state	Neu	Adipocytokine signaling pathway	0.036	0.27
Disease-state	Neu	Choline metabolism in cancer	0.036	0.27
Disease-state	Neu	Legionellosis	0.038	0.27
Disease-state	Neu	Proteasome	0.039	0.27
Disease-state	Neu	Fatty acid biosynthesis	0.04	0.27
Disease-state	Neu	JAK-STAT signaling pathway	0.04	0.27
Disease-state	Neu	Rheumatoid arthritis	0.042	0.27
Disease-state	Neu	Hepatitis B	0.043	0.27
Disease-state	Neu	Osteoclast differentiation	0.045	0.27
Disease-state	Neu	Th17 cell differentiation	0.045	0.27
Disease-state	Neu	Toxoplasmosis	0.045	0.27
Disease-state	Neu	Mitophagy - animal	0.047	0.28
Disease-state	Neu	Fanconi anemia pathway	0.047	0.28
Disease-state	Neu	Citrate cycle (TCA cycle)	0.05	0.28
Disease-state	Neu	Circadian rhythm	0.05	0.28
Disease-state	LDG	NOD-like receptor signaling pathway	9.8e-07	0.00031
Disease-state	LDG	Influenza A	6.1e-05	0.0097
Disease-state	LDG	Autophagy - animal	0.00059	0.052
Disease-state	LDG	Salmonella infection	0.00069	0.052
Disease-state	LDG	Pancreatic cancer	0.00081	0.052
Disease-state	LDG	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.0015	0.07
Disease-state	LDG	Shigellosis	0.0016	0.07
Disease-state	LDG	Measles	0.0017	0.07
Disease-state	LDG	Epstein-Barr virus infection	0.0021	0.075
Disease-state	LDG	Neutrophil extracellular trap formation	0.0048	0.13
Disease-state	LDG	Longevity regulating pathway	0.005	0.13
Disease-state	LDG	Glycosphingolipid biosynthesis - lacto and neolacto series	0.005	0.13
Disease-state	LDG	RIG-I-like receptor signaling pathway	0.0054	0.13
Disease-state	LDG	Transcriptional misregulation in cancer	0.0076	0.17
Disease-state	LDG	Type II diabetes mellitus	0.0085	0.18
Disease-state	LDG	Necroptosis	0.0088	0.18
Disease-state	LDG	Apoptosis	0.011	0.2
Disease-state	LDG	IL-17 signaling pathway	0.011	0.2
Disease-state	LDG	Human cytomegalovirus infection	0.012	0.21
Disease-state	LDG	C-type lectin receptor signaling pathway	0.013	0.21
Disease-state	LDG	TNF signaling pathway	0.014	0.21
Disease-state	LDG	Cytosolic DNA-sensing pathway	0.016	0.23
Disease-state	LDG	Fc epsilon RI signaling pathway	0.019	0.26
Disease-state	LDG	Coronavirus disease - COVID-19	0.022	0.28
Disease-state	LDG	Longevity regulating pathway - multiple species	0.022	0.28
Disease-state	LDG	Human immunodeficiency virus 1 infection	0.023	0.28
Disease-state	LDG	AMPK signaling pathway	0.024	0.28
Disease-state	LDG	Glycolysis / Gluconeogenesis	0.037	0.41
Disease-state	LDG	Hepatitis C	0.04	0.41
Disease-state	LDG	Rap1 signaling pathway	0.04	0.41
Disease-state	LDG	Sphingolipid signaling pathway	0.04	0.41
Disease-state	LDG	RNA degradation	0.041	0.41
Disease-state	LDG	Ferroptosis	0.045	0.43
Disease-state	LDG	Choline metabolism in cancer	0.046	0.43
Disease-state	LDG	B cell receptor signaling pathway	0.048	0.44
Disease-state	LDG	Hepatitis B	0.05	0.44
Disease-activity	Naive CD4	Coronavirus disease - COVID-19	1.1e-36	3.5e-34
Disease-activity	Naive CD4	Ribosome	1.3e-30	2e-28
Disease-activity	Naive CD4	Influenza A	2.9e-10	2.9e-08
Disease-activity	Naive CD4	Necroptosis	1.3e-05	0.001
Disease-activity	Naive CD4	Hepatitis C	0.00025	0.015
Disease-activity	Naive CD4	NOD-like receptor signaling pathway	0.00073	0.037
Disease-activity	Naive CD4	RIG-I-like receptor signaling pathway	0.0025	0.11
Disease-activity	Naive CD4	Measles	0.0086	0.33
Disease-activity	Naive CD4	Cytosolic DNA-sensing pathway	0.014	0.46
Disease-activity	Naive CD4	Selenocompound metabolism	0.018	0.56
Disease-activity	Naive CD4	Folate biosynthesis	0.038	  1
Disease-activity	Naive CD4	Apoptosis	0.046	  1
Disease-activity	Mem CD4	Ribosome	6.1e-16	2e-13
Disease-activity	Mem CD4	Coronavirus disease - COVID-19	2.5e-14	4e-12
Disease-activity	Mem CD4	DNA replication	8e-06	0.00087
Disease-activity	Mem CD4	Cell cycle	5e-05	0.0041
Disease-activity	Mem CD4	Influenza A	0.0017	0.11
Disease-activity	Mem CD4	Hepatitis C	0.0028	0.15
Disease-activity	Mem CD4	One carbon pool by folate	0.0036	0.17
Disease-activity	Mem CD4	NOD-like receptor signaling pathway	0.0041	0.17
Disease-activity	Mem CD4	Lysosome	0.0048	0.17
Disease-activity	Mem CD4	Oocyte meiosis	0.0053	0.17
Disease-activity	Mem CD4	p53 signaling pathway	0.008	0.24
Disease-activity	Mem CD4	Nucleotide excision repair	0.0094	0.26
Disease-activity	Mem CD4	Dopaminergic synapse	0.012	0.3
Disease-activity	Mem CD4	Fanconi anemia pathway	0.015	0.36
Disease-activity	Mem CD4	Drug metabolism - other enzymes	0.021	0.45
Disease-activity	Mem CD4	MAPK signaling pathway	0.024	0.47
Disease-activity	Mem CD4	Human cytomegalovirus infection	0.025	0.47
Disease-activity	Mem CD4	RIG-I-like receptor signaling pathway	0.029	0.5
Disease-activity	Mem CD4	Cysteine and methionine metabolism	0.029	0.5
Disease-activity	Mem CD4	Kaposi sarcoma-associated herpesvirus infection	0.034	0.53
Disease-activity	Mem CD4	Chemical carcinogenesis - receptor activation	0.034	0.53
Disease-activity	Mem CD4	Cellular senescence	0.037	0.54
Disease-activity	Mem CD4	Glutamatergic synapse	0.038	0.54
Disease-activity	Mem CD4	Chemokine signaling pathway	0.04	0.54
Disease-activity	Mem CD4	Aminoacyl-tRNA biosynthesis	0.043	0.56
Disease-activity	Th1	Parkinson disease	1e-17	3.4e-15
Disease-activity	Th1	Oxidative phosphorylation	2.8e-13	4.6e-11
Disease-activity	Th1	Amyotrophic lateral sclerosis	2e-12	2.2e-10
Disease-activity	Th1	Huntington disease	3.6e-11	2.9e-09
Disease-activity	Th1	Prion disease	4.6e-11	3e-09
Disease-activity	Th1	Proteasome	1.3e-10	6.9e-09
Disease-activity	Th1	Pathways of neurodegeneration - multiple diseases	4.5e-10	2.1e-08
Disease-activity	Th1	Alzheimer disease	9.3e-10	3.8e-08
Disease-activity	Th1	Cell cycle	4.2e-08	1.5e-06
Disease-activity	Th1	Thermogenesis	5.8e-07	1.9e-05
Disease-activity	Th1	Chemical carcinogenesis - reactive oxygen species	1e-06	3e-05
Disease-activity	Th1	Diabetic cardiomyopathy	3e-06	8.1e-05
Disease-activity	Th1	DNA replication	3.8e-06	9.6e-05
Disease-activity	Th1	Non-alcoholic fatty liver disease	5.3e-06	0.00012
Disease-activity	Th1	Spliceosome	1.7e-05	0.00037
Disease-activity	Th1	Cardiac muscle contraction	3.2e-05	0.00065
Disease-activity	Th1	Carbon metabolism	0.00022	0.0042
Disease-activity	Th1	Oocyte meiosis	0.00049	0.0089
Disease-activity	Th1	Mismatch repair	0.00076	0.013
Disease-activity	Th1	Base excision repair	0.001	0.017
Disease-activity	Th1	Citrate cycle (TCA cycle)	0.0019	0.029
Disease-activity	Th1	Retrograde endocannabinoid signaling	0.0024	0.034
Disease-activity	Th1	Fanconi anemia pathway	0.0024	0.034
Disease-activity	Th1	Pentose phosphate pathway	0.0026	0.035
Disease-activity	Th1	Metabolic pathways	0.0028	0.036
Disease-activity	Th1	Ribosome	0.0032	0.04
Disease-activity	Th1	Biosynthesis of amino acids	0.0038	0.046
Disease-activity	Th1	Hepatitis C	0.0041	0.047
Disease-activity	Th1	Homologous recombination	0.0071	0.08
Disease-activity	Th1	Spinocerebellar ataxia	0.0089	0.096
Disease-activity	Th1	Nucleotide excision repair	0.011	0.11
Disease-activity	Th1	Aminoacyl-tRNA biosynthesis	0.013	0.13
Disease-activity	Th1	Pathogenic Escherichia coli infection	0.016	0.15
Disease-activity	Th1	Cysteine and methionine metabolism	0.017	0.16
Disease-activity	Th1	Biosynthesis of cofactors	0.018	0.17
Disease-activity	Th1	Pyrimidine metabolism	0.021	0.19
Disease-activity	Th1	Protein export	0.023	0.2
Disease-activity	Th1	p53 signaling pathway	0.024	0.2
Disease-activity	Th1	One carbon pool by folate	0.024	0.2
Disease-activity	Th1	mRNA surveillance pathway	0.025	0.2
Disease-activity	Th1	Fatty acid degradation	0.033	0.26
Disease-activity	Th2	Coronavirus disease - COVID-19	2.7e-32	8.6e-30
Disease-activity	Th2	Ribosome	2.9e-25	4.5e-23
Disease-activity	Th2	Influenza A	9.4e-09	9.8e-07
Disease-activity	Th2	RIG-I-like receptor signaling pathway	0.00048	0.038
Disease-activity	Th2	Hepatitis C	0.00097	0.061
Disease-activity	Th2	NOD-like receptor signaling pathway	0.007	0.33
Disease-activity	Th2	Cytosolic DNA-sensing pathway	0.0073	0.33
Disease-activity	Th2	Measles	0.01	0.39
Disease-activity	Th2	Salmonella infection	0.016	0.54
Disease-activity	Th2	Arginine and proline metabolism	0.017	0.54
Disease-activity	Th2	Necroptosis	0.023	0.61
Disease-activity	Th2	RNA degradation	0.023	0.61
Disease-activity	Th2	African trypanosomiasis	0.032	0.78
Disease-activity	Th2	Pathogenic Escherichia coli infection	0.037	0.84
Disease-activity	Th2	Kaposi sarcoma-associated herpesvirus infection	0.042	0.89
Disease-activity	Th2	Proximal tubule bicarbonate reclamation	0.049	0.97
Disease-activity	Th17	Coronavirus disease - COVID-19	3.8e-38	1.2e-35
Disease-activity	Th17	Ribosome	8e-35	1.2e-32
Disease-activity	Th17	Influenza A	8e-07	8.2e-05
Disease-activity	Th17	Hepatitis C	5.3e-05	0.0041
Disease-activity	Th17	Necroptosis	0.012	0.64
Disease-activity	Th17	Citrate cycle (TCA cycle)	0.012	0.64
Disease-activity	Th17	Apoptosis - multiple species	0.018	0.77
Disease-activity	Th17	Measles	0.02	0.77
Disease-activity	Th17	Carbon metabolism	0.024	0.81
Disease-activity	Th17	p53 signaling pathway	0.029	0.82
Disease-activity	Th17	Glyoxylate and dicarboxylate metabolism	0.029	0.82
Disease-activity	Th17	Pathways of neurodegeneration - multiple diseases	0.035	0.83
Disease-activity	Th17	JAK-STAT signaling pathway	0.036	0.83
Disease-activity	Th17	NOD-like receptor signaling pathway	0.04	0.83
Disease-activity	Th17	Proximal tubule bicarbonate reclamation	0.04	0.83
Disease-activity	Tfh	Coronavirus disease - COVID-19	8.3e-28	2.6e-25
Disease-activity	Tfh	Ribosome	3.6e-21	5.7e-19
Disease-activity	Tfh	Influenza A	4.2e-07	4.4e-05
Disease-activity	Tfh	Hepatitis C	0.00028	0.022
Disease-activity	Tfh	RIG-I-like receptor signaling pathway	0.00064	0.04
Disease-activity	Tfh	NOD-like receptor signaling pathway	0.0034	0.17
Disease-activity	Tfh	Proximal tubule bicarbonate reclamation	0.0037	0.17
Disease-activity	Tfh	Glycerolipid metabolism	0.0096	0.38
Disease-activity	Tfh	Other types of O-glycan biosynthesis	0.016	0.55
Disease-activity	Tfh	Cytosolic DNA-sensing pathway	0.02	0.64
Disease-activity	Tfh	Glyoxylate and dicarboxylate metabolism	0.024	0.68
Disease-activity	Tfh	One carbon pool by folate	0.026	0.69
Disease-activity	Tfh	Necroptosis	0.028	0.69
Disease-activity	Tfh	Mineral absorption	0.031	0.7
Disease-activity	Tfh	mTOR signaling pathway	0.034	0.71
Disease-activity	Tfh	Mitophagy - animal	0.037	0.74
Disease-activity	Tfh	Glutamatergic synapse	0.047	0.76
Disease-activity	Tfh	Mucin type O-glycan biosynthesis	0.049	0.76
Disease-activity	Fr. I nTreg	Coronavirus disease - COVID-19	7.4e-36	2.1e-33
Disease-activity	Fr. I nTreg	Ribosome	1.6e-27	2.3e-25
Disease-activity	Fr. I nTreg	Influenza A	2.3e-06	0.00022
Disease-activity	Fr. I nTreg	Hepatitis C	3.5e-05	0.002
Disease-activity	Fr. I nTreg	Measles	3.5e-05	0.002
Disease-activity	Fr. I nTreg	Necroptosis	0.00014	0.0066
Disease-activity	Fr. I nTreg	NOD-like receptor signaling pathway	0.00027	0.011
Disease-activity	Fr. I nTreg	Mitophagy - animal	0.0019	0.068
Disease-activity	Fr. I nTreg	Biosynthesis of cofactors	0.0043	0.14
Disease-activity	Fr. I nTreg	Epstein-Barr virus infection	0.0098	0.25
Disease-activity	Fr. I nTreg	RIG-I-like receptor signaling pathway	0.01	0.25
Disease-activity	Fr. I nTreg	Aminoacyl-tRNA biosynthesis	0.011	0.25
Disease-activity	Fr. I nTreg	Circadian rhythm	0.011	0.25
Disease-activity	Fr. I nTreg	JAK-STAT signaling pathway	0.015	0.31
Disease-activity	Fr. I nTreg	Cytosolic DNA-sensing pathway	0.019	0.36
Disease-activity	Fr. I nTreg	Folate biosynthesis	0.025	0.45
Disease-activity	Fr. II eTreg	Coronavirus disease - COVID-19	1.3e-11	3.9e-09
Disease-activity	Fr. II eTreg	Influenza A	3.9e-08	6e-06
Disease-activity	Fr. II eTreg	Ribosome	4.1e-06	0.00042
Disease-activity	Fr. II eTreg	Hepatitis C	0.00026	0.02
Disease-activity	Fr. II eTreg	Measles	0.0016	0.095
Disease-activity	Fr. II eTreg	NOD-like receptor signaling pathway	0.0021	0.11
Disease-activity	Fr. II eTreg	Cytokine-cytokine receptor interaction	0.0041	0.18
Disease-activity	Fr. II eTreg	RIG-I-like receptor signaling pathway	0.0071	0.27
Disease-activity	Fr. II eTreg	Lysosome	0.01	0.34
Disease-activity	Fr. II eTreg	Cytosolic DNA-sensing pathway	0.011	0.34
Disease-activity	Fr. II eTreg	Long-term potentiation	0.023	0.64
Disease-activity	Fr. II eTreg	Primary immunodeficiency	0.032	0.81
Disease-activity	Fr. II eTreg	Viral protein interaction with cytokine and cytokine receptor	0.044	  1
Disease-activity	Fr. II eTreg	Glycerophospholipid metabolism	0.049	  1
Disease-activity	Fr. II eTreg	Kaposi sarcoma-associated herpesvirus infection	0.049	  1
Disease-activity	Fr. III T	Coronavirus disease - COVID-19	9.8e-44	2.8e-41
Disease-activity	Fr. III T	Ribosome	1.2e-34	1.7e-32
Disease-activity	Fr. III T	Influenza A	2.4e-07	2.3e-05
Disease-activity	Fr. III T	Hepatitis C	0.00036	0.026
Disease-activity	Fr. III T	Mitophagy - animal	0.0021	0.12
Disease-activity	Fr. III T	NOD-like receptor signaling pathway	0.0044	0.21
Disease-activity	Fr. III T	Measles	0.0058	0.24
Disease-activity	Fr. III T	RIG-I-like receptor signaling pathway	0.011	0.39
Disease-activity	Fr. III T	Arginine and proline metabolism	0.031	0.88
Disease-activity	Fr. III T	Necroptosis	0.031	0.88
Disease-activity	Fr. III T	Kaposi sarcoma-associated herpesvirus infection	0.048	  1
Disease-activity	Naive CD8	Coronavirus disease - COVID-19	3.6e-24	1.1e-21
Disease-activity	Naive CD8	Ribosome	1.7e-18	2.6e-16
Disease-activity	Naive CD8	Influenza A	7.9e-08	8.2e-06
Disease-activity	Naive CD8	Hepatitis C	0.00056	0.044
Disease-activity	Naive CD8	p53 signaling pathway	0.0011	0.065
Disease-activity	Naive CD8	Necroptosis	0.0017	0.086
Disease-activity	Naive CD8	Measles	0.0029	0.12
Disease-activity	Naive CD8	RIG-I-like receptor signaling pathway	0.0033	0.12
Disease-activity	Naive CD8	Apoptosis - multiple species	0.0034	0.12
Disease-activity	Naive CD8	Mitophagy - animal	0.004	0.12
Disease-activity	Naive CD8	Shigellosis	0.0064	0.18
Disease-activity	Naive CD8	Natural killer cell mediated cytotoxicity	0.011	0.29
Disease-activity	Naive CD8	Pentose phosphate pathway	0.014	0.29
Disease-activity	Naive CD8	Glioma	0.014	0.29
Disease-activity	Naive CD8	Epstein-Barr virus infection	0.015	0.29
Disease-activity	Naive CD8	Melanoma	0.015	0.29
Disease-activity	Naive CD8	Apoptosis	0.017	0.29
Disease-activity	Naive CD8	Platinum drug resistance	0.018	0.29
Disease-activity	Naive CD8	NOD-like receptor signaling pathway	0.018	0.29
Disease-activity	Naive CD8	Glycerolipid metabolism	0.019	0.29
Disease-activity	Naive CD8	Non-small cell lung cancer	0.021	0.31
Disease-activity	Naive CD8	Mineral absorption	0.022	0.31
Disease-activity	Naive CD8	NF-kappa B signaling pathway	0.023	0.31
Disease-activity	Naive CD8	Thyroid cancer	0.026	0.34
Disease-activity	Naive CD8	Leishmaniasis	0.037	0.46
Disease-activity	Naive CD8	Biosynthesis of amino acids	0.049	0.59
Disease-activity	CM CD8	Ribosome	8.7e-09	2.7e-06
Disease-activity	CM CD8	Coronavirus disease - COVID-19	2.1e-06	0.00032
Disease-activity	CM CD8	Influenza A	6e-05	0.0063
Disease-activity	CM CD8	Cell cycle	9.4e-05	0.0074
Disease-activity	CM CD8	Proteasome	0.00044	0.026
Disease-activity	CM CD8	Parkinson disease	0.00054	0.026
Disease-activity	CM CD8	Huntington disease	0.00058	0.026
Disease-activity	CM CD8	Hepatitis C	0.001	0.039
Disease-activity	CM CD8	Amyotrophic lateral sclerosis	0.0013	0.047
Disease-activity	CM CD8	Pathways of neurodegeneration - multiple diseases	0.0025	0.08
Disease-activity	CM CD8	Pyrimidine metabolism	0.0036	0.1
Disease-activity	CM CD8	Mineral absorption	0.0079	0.21
Disease-activity	CM CD8	Drug metabolism - other enzymes	0.01	0.23
Disease-activity	CM CD8	One carbon pool by folate	0.01	0.23
Disease-activity	CM CD8	DNA replication	0.015	0.32
Disease-activity	CM CD8	Measles	0.016	0.32
Disease-activity	CM CD8	Necroptosis	0.02	0.36
Disease-activity	CM CD8	Citrate cycle (TCA cycle)	0.023	0.41
Disease-activity	CM CD8	Alzheimer disease	0.025	0.41
Disease-activity	CM CD8	Homologous recombination	0.027	0.41
Disease-activity	CM CD8	Salmonella infection	0.027	0.41
Disease-activity	CM CD8	Bacterial invasion of epithelial cells	0.032	0.41
Disease-activity	CM CD8	Proximal tubule bicarbonate reclamation	0.032	0.41
Disease-activity	CM CD8	Prion disease	0.034	0.41
Disease-activity	CM CD8	Oxidative phosphorylation	0.035	0.41
Disease-activity	CM CD8	Carbon metabolism	0.035	0.41
Disease-activity	CM CD8	Fanconi anemia pathway	0.035	0.41
Disease-activity	CM CD8	Metabolic pathways	0.037	0.41
Disease-activity	CM CD8	Epstein-Barr virus infection	0.04	0.42
Disease-activity	CM CD8	Apoptosis	0.041	0.42
Disease-activity	CM CD8	RNA degradation	0.042	0.42
Disease-activity	CM CD8	mRNA surveillance pathway	0.047	0.46
Disease-activity	EM CD8	Parkinson disease	8e-17	2.6e-14
Disease-activity	EM CD8	Proteasome	7.3e-16	1.2e-13
Disease-activity	EM CD8	Prion disease	5e-12	5.4e-10
Disease-activity	EM CD8	Ribosome	8.1e-12	6.6e-10
Disease-activity	EM CD8	Huntington disease	5.5e-11	3.5e-09
Disease-activity	EM CD8	Amyotrophic lateral sclerosis	5.8e-10	3.2e-08
Disease-activity	EM CD8	Pathways of neurodegeneration - multiple diseases	1.6e-09	7.4e-08
Disease-activity	EM CD8	Alzheimer disease	3.5e-07	1.4e-05
Disease-activity	EM CD8	Cell cycle	6.6e-07	2.4e-05
Disease-activity	EM CD8	Oxidative phosphorylation	1.3e-06	4.2e-05
Disease-activity	EM CD8	DNA replication	2.7e-06	7.9e-05
Disease-activity	EM CD8	Chemical carcinogenesis - reactive oxygen species	0.00014	0.0039
Disease-activity	EM CD8	Carbon metabolism	0.00017	0.0042
Disease-activity	EM CD8	Coronavirus disease - COVID-19	0.00034	0.0076
Disease-activity	EM CD8	Homologous recombination	0.00035	0.0076
Disease-activity	EM CD8	Biosynthesis of amino acids	0.00052	0.01
Disease-activity	EM CD8	Thermogenesis	0.00082	0.016
Disease-activity	EM CD8	Cardiac muscle contraction	0.001	0.019
Disease-activity	EM CD8	Citrate cycle (TCA cycle)	0.0011	0.019
Disease-activity	EM CD8	Glyoxylate and dicarboxylate metabolism	0.0012	0.02
Disease-activity	EM CD8	Mismatch repair	0.0014	0.021
Disease-activity	EM CD8	Non-alcoholic fatty liver disease	0.0015	0.021
Disease-activity	EM CD8	Diabetic cardiomyopathy	0.0015	0.021
Disease-activity	EM CD8	Oocyte meiosis	0.0025	0.034
Disease-activity	EM CD8	Ubiquinone and other terpenoid-quinone biosynthesis	0.0029	0.037
Disease-activity	EM CD8	Fanconi anemia pathway	0.0031	0.038
Disease-activity	EM CD8	Hepatitis C	0.0039	0.047
Disease-activity	EM CD8	Cellular senescence	0.0063	0.073
Disease-activity	EM CD8	Spliceosome	0.0067	0.075
Disease-activity	EM CD8	p53 signaling pathway	0.0087	0.093
Disease-activity	EM CD8	Pyrimidine metabolism	0.0089	0.093
Disease-activity	EM CD8	Protein export	0.0093	0.094
Disease-activity	EM CD8	Biosynthesis of cofactors	0.013	0.13
Disease-activity	EM CD8	Spinocerebellar ataxia	0.015	0.15
Disease-activity	EM CD8	Necroptosis	0.016	0.15
Disease-activity	EM CD8	Influenza A	0.019	0.18
Disease-activity	EM CD8	Pentose phosphate pathway	0.023	0.2
Disease-activity	EM CD8	Metabolic pathways	0.025	0.21
Disease-activity	EM CD8	One carbon pool by folate	0.026	0.21
Disease-activity	EM CD8	2-Oxocarboxylic acid metabolism	0.026	0.21
Disease-activity	EM CD8	Glycine, serine and threonine metabolism	0.029	0.23
Disease-activity	EM CD8	Cysteine and methionine metabolism	0.04	0.3
Disease-activity	EM CD8	Arginine and proline metabolism	0.041	0.3
Disease-activity	EM CD8	Base excision repair	0.041	0.3
Disease-activity	TEMRA CD8	Coronavirus disease - COVID-19	4.5e-19	1.4e-16
Disease-activity	TEMRA CD8	Ribosome	3.9e-18	6.2e-16
Disease-activity	TEMRA CD8	Cell cycle	2.9e-07	3.1e-05
Disease-activity	TEMRA CD8	Influenza A	2.4e-05	0.0019
Disease-activity	TEMRA CD8	DNA replication	7.9e-05	0.005
Disease-activity	TEMRA CD8	Hepatitis C	0.00027	0.015
Disease-activity	TEMRA CD8	Fanconi anemia pathway	0.0012	0.056
Disease-activity	TEMRA CD8	Citrate cycle (TCA cycle)	0.0017	0.069
Disease-activity	TEMRA CD8	Proteasome	0.0025	0.089
Disease-activity	TEMRA CD8	Oocyte meiosis	0.0035	0.11
Disease-activity	TEMRA CD8	Apoptosis	0.0077	0.22
Disease-activity	TEMRA CD8	Homologous recombination	0.0083	0.22
Disease-activity	TEMRA CD8	Glioma	0.0099	0.22
Disease-activity	TEMRA CD8	Mitophagy - animal	0.011	0.22
Disease-activity	TEMRA CD8	Parkinson disease	0.011	0.22
Disease-activity	TEMRA CD8	Biosynthesis of amino acids	0.011	0.22
Disease-activity	TEMRA CD8	MicroRNAs in cancer	0.012	0.22
Disease-activity	TEMRA CD8	Epstein-Barr virus infection	0.013	0.22
Disease-activity	TEMRA CD8	Measles	0.013	0.22
Disease-activity	TEMRA CD8	Carbon metabolism	0.016	0.26
Disease-activity	TEMRA CD8	Melanoma	0.017	0.26
Disease-activity	TEMRA CD8	Gap junction	0.024	0.34
Disease-activity	TEMRA CD8	Kaposi sarcoma-associated herpesvirus infection	0.026	0.35
Disease-activity	TEMRA CD8	Glyoxylate and dicarboxylate metabolism	0.026	0.35
Disease-activity	TEMRA CD8	RIG-I-like receptor signaling pathway	0.031	0.4
Disease-activity	TEMRA CD8	Thyroid cancer	0.034	0.41
Disease-activity	TEMRA CD8	Non-small cell lung cancer	0.034	0.41
Disease-activity	TEMRA CD8	Pyrimidine metabolism	0.036	0.41
Disease-activity	TEMRA CD8	p53 signaling pathway	0.041	0.44
Disease-activity	TEMRA CD8	Ubiquinone and other terpenoid-quinone biosynthesis	0.042	0.44
Disease-activity	TEMRA CD8	Bladder cancer	0.043	0.44
