Cell type	PC	Clinical parameter	Effect size	Standard error	Pvalue	FDR
TEMRA CD8	PC7	MDAvsInactive	-0.41	0.26	0.13	0.7
TEMRA CD8	PC7	HDAvsInactive	-0.1	0.27	0.71	0.97
TEMRA CD8	PC7	constitutional	0.48	0.3	0.11	0.68
TEMRA CD8	PC7	mucocutaneous	-0.1	0.22	0.66	0.96
TEMRA CD8	PC7	musculoskeletal	0.00072	0.24	  1	  1
TEMRA CD8	PC7	renal	0.076	0.22	0.73	0.97
TEMRA CD8	PC7	extrarenal	-0.57	0.32	0.074	0.6
TEMRA CD8	PC7	hematological	-0.17	0.29	0.56	0.94
TEMRA CD8	PC7	serological	-0.001	0.19	  1	  1
TEMRA CD8	PC7	HCQ	-0.12	0.2	0.55	0.93
TEMRA CD8	PC7	MMF	0.0095	0.22	0.97	  1
TEMRA CD8	PC7	TAC	0.19	0.23	0.4	0.89
NK	PC1	InactivevsHC	  1	0.11	1.9e-15	7.3e-12
NK	PC1	LDAvsInactive	0.16	0.22	0.48	0.92
NK	PC1	MDAvsInactive	0.53	0.21	0.013	0.35
NK	PC1	HDAvsInactive	0.87	0.23	0.00032	0.037
NK	PC1	constitutional	0.48	0.24	0.051	0.54
NK	PC1	mucocutaneous	0.23	0.18	0.2	0.78
NK	PC1	musculoskeletal	0.41	0.19	0.033	0.47
NK	PC1	renal	-0.019	0.18	0.91	0.99
NK	PC1	extrarenal	-0.094	0.25	0.71	0.97
NK	PC1	hematological	0.63	0.23	0.007	0.26
NK	PC1	serological	0.3	0.16	0.058	0.57
NK	PC1	HCQ	-0.13	0.16	0.43	0.9
NK	PC1	MMF	0.038	0.19	0.84	0.99
NK	PC1	TAC	0.022	0.19	0.91	0.99
NK	PC2	InactivevsHC	-0.42	0.21	0.046	0.53
NK	PC2	LDAvsInactive	0.73	0.27	0.0092	0.3
NK	PC2	MDAvsInactive	0.88	0.31	0.0071	0.26
NK	PC2	HDAvsInactive	1.2	0.27	8.9e-05	0.014
NK	PC2	constitutional	0.57	0.31	0.07	0.59
NK	PC2	mucocutaneous	-0.037	0.23	0.87	0.99
NK	PC2	musculoskeletal	0.099	0.24	0.68	0.96
NK	PC2	renal	0.63	0.22	0.0056	0.24
NK	PC2	extrarenal	0.25	0.32	0.43	0.9
NK	PC2	hematological	0.046	0.29	0.88	0.99
NK	PC2	serological	0.13	0.2	0.51	0.92
NK	PC2	HCQ	0.12	0.2	0.55	0.93
NK	PC2	MMF	0.43	0.22	0.059	0.57
NK	PC2	TAC	0.45	0.23	0.05	0.54
NK	PC3	InactivevsHC	0.083	0.18	0.66	0.96
NK	PC3	LDAvsInactive	-0.16	0.27	0.56	0.94
NK	PC3	MDAvsInactive	0.36	0.26	0.17	0.75
NK	PC3	HDAvsInactive	0.56	0.24	0.022	0.42
NK	PC3	constitutional	-0.13	0.31	0.67	0.96
NK	PC3	mucocutaneous	0.35	0.23	0.13	0.71
NK	PC3	musculoskeletal	0.28	0.25	0.26	0.82
NK	PC3	renal	0.49	0.23	0.034	0.47
NK	PC3	extrarenal	0.25	0.33	0.44	0.9
NK	PC3	hematological	0.042	0.3	0.89	0.99
NK	PC3	serological	-0.082	0.2	0.69	0.96
NK	PC3	HCQ	-0.11	0.2	0.59	0.94
NK	PC3	MMF	-0.27	0.23	0.24	0.81
NK	PC3	TAC	0.21	0.23	0.36	0.88
NK	PC4	InactivevsHC	0.08	0.21	0.71	0.97
NK	PC4	LDAvsInactive	0.4	0.27	0.15	0.73
NK	PC4	MDAvsInactive	0.12	0.31	0.69	0.96
NK	PC4	HDAvsInactive	0.54	0.27	0.049	0.54
NK	PC4	constitutional	0.13	0.32	0.69	0.96
NK	PC4	mucocutaneous	0.41	0.23	0.079	0.61
NK	PC4	musculoskeletal	0.023	0.25	0.93	  1
NK	PC4	renal	0.22	0.23	0.33	0.86
NK	PC4	extrarenal	0.0039	0.33	0.99	  1
NK	PC4	hematological	-0.35	0.3	0.25	0.82
NK	PC4	serological	-0.077	0.2	0.7	0.97
NK	PC4	HCQ	-0.26	0.2	0.21	0.79
NK	PC4	MMF	-0.12	0.23	0.61	0.95
NK	PC4	TAC	-0.55	0.23	0.02	0.41
NK	PC5	InactivevsHC	-0.2	0.17	0.25	0.82
NK	PC5	LDAvsInactive	-0.15	0.32	0.64	0.95
NK	PC5	MDAvsInactive	0.18	0.27	0.49	0.92
NK	PC5	HDAvsInactive	0.52	0.28	0.071	0.6
NK	PC5	constitutional	0.46	0.33	0.16	0.74
NK	PC5	mucocutaneous	0.55	0.24	0.026	0.44
NK	PC5	musculoskeletal	0.46	0.26	0.08	0.62
NK	PC5	renal	0.54	0.24	0.025	0.44
NK	PC5	extrarenal	-0.029	0.34	0.93	  1
NK	PC5	hematological	 -1	0.31	0.0015	0.11
NK	PC5	serological	-0.29	0.21	0.17	0.75
NK	PC5	HCQ	-0.31	0.23	0.18	0.77
NK	PC5	MMF	-0.039	0.26	0.88	0.99
NK	PC5	TAC	0.2	0.26	0.45	0.91
NK	PC6	InactivevsHC	0.43	0.2	0.036	0.49
NK	PC6	LDAvsInactive	0.17	0.29	0.57	0.94
NK	PC6	MDAvsInactive	0.16	0.33	0.64	0.95
NK	PC6	HDAvsInactive	-0.19	0.27	0.5	0.92
NK	PC6	constitutional	-0.3	0.32	0.35	0.87
NK	PC6	mucocutaneous	0.51	0.24	0.035	0.48
NK	PC6	musculoskeletal	-0.1	0.25	0.69	0.96
NK	PC6	renal	-0.038	0.23	0.87	0.99
NK	PC6	extrarenal	-0.19	0.34	0.57	0.94
NK	PC6	hematological	-0.9	0.31	0.0041	0.19
NK	PC6	serological	0.19	0.21	0.36	0.88
NK	PC6	HCQ	0.022	0.21	0.92	0.99
NK	PC6	MMF	0.17	0.24	0.49	0.92
NK	PC6	TAC	0.19	0.25	0.44	0.9
NK	PC7	InactivevsHC	0.63	0.19	0.0012	0.095
NK	PC7	LDAvsInactive	0.05	0.28	0.86	0.99
NK	PC7	MDAvsInactive	-0.56	0.29	0.055	0.56
NK	PC7	HDAvsInactive	-0.89	0.3	0.0044	0.2
NK	PC7	constitutional	-0.28	0.32	0.37	0.88
NK	PC7	mucocutaneous	-0.044	0.23	0.85	0.99
NK	PC7	musculoskeletal	-0.67	0.25	0.0081	0.28
NK	PC7	renal	-0.37	0.23	0.11	0.66
NK	PC7	extrarenal	-0.37	0.33	0.27	0.83
NK	PC7	hematological	-0.11	0.3	0.72	0.97
NK	PC7	serological	0.0069	0.2	0.97	  1
NK	PC7	HCQ	-0.097	0.2	0.63	0.95
NK	PC7	MMF	0.0088	0.23	0.97	  1
NK	PC7	TAC	0.16	0.23	0.5	0.92
Naive B	PC1	InactivevsHC	1.3	0.18	4.3e-11	5.4e-08
Naive B	PC1	LDAvsInactive	-0.28	0.27	0.3	0.84
Naive B	PC1	MDAvsInactive	-0.28	0.29	0.34	0.86
Naive B	PC1	HDAvsInactive	0.014	0.31	0.96	  1
Naive B	PC1	constitutional	-0.17	0.31	0.57	0.94
Naive B	PC1	mucocutaneous	0.32	0.22	0.16	0.74
Naive B	PC1	musculoskeletal	0.12	0.24	0.61	0.95
Naive B	PC1	renal	-0.096	0.22	0.67	0.96
Naive B	PC1	extrarenal	-0.23	0.32	0.48	0.92
Naive B	PC1	hematological	0.075	0.29	0.79	0.98
Naive B	PC1	serological	0.12	0.19	0.53	0.93
Naive B	PC1	HCQ	-0.2	0.19	0.29	0.83
Naive B	PC1	MMF	-0.13	0.22	0.54	0.93
Naive B	PC1	TAC	-0.019	0.22	0.93	  1
Naive B	PC2	InactivevsHC	0.37	0.21	0.074	0.6
Naive B	PC2	LDAvsInactive	0.45	0.27	0.11	0.66
Naive B	PC2	MDAvsInactive	0.54	0.31	0.086	0.62
Naive B	PC2	HDAvsInactive	0.93	0.33	0.0062	0.25
Naive B	PC2	constitutional	0.47	0.31	0.13	0.71
Naive B	PC2	mucocutaneous	-0.043	0.23	0.85	0.99
Naive B	PC2	musculoskeletal	-0.037	0.24	0.88	0.99
Naive B	PC2	renal	0.37	0.22	0.1	0.65
Naive B	PC2	extrarenal	0.41	0.33	0.22	0.8
Naive B	PC2	hematological	0.39	0.29	0.19	0.78
Naive B	PC2	serological	0.17	0.19	0.37	0.88
Naive B	PC2	HCQ	-0.081	0.19	0.68	0.96
Naive B	PC2	MMF	0.26	0.22	0.24	0.81
Naive B	PC2	TAC	-0.0097	0.22	0.97	  1
Naive B	PC3	InactivevsHC	0.027	0.18	0.88	0.99
Naive B	PC3	LDAvsInactive	0.12	0.27	0.66	0.96
Naive B	PC3	MDAvsInactive	0.97	0.29	0.0016	0.11
Naive B	PC3	HDAvsInactive	0.96	0.29	0.0019	0.12
Naive B	PC3	constitutional	0.047	0.36	0.9	0.99
Naive B	PC3	mucocutaneous	0.22	0.26	0.4	0.89
Naive B	PC3	musculoskeletal	0.28	0.27	0.31	0.85
Naive B	PC3	renal	0.47	0.25	0.07	0.59
Naive B	PC3	extrarenal	0.3	0.37	0.42	0.9
Naive B	PC3	hematological	0.14	0.33	0.68	0.96
Naive B	PC3	serological	0.23	0.22	0.29	0.83
Naive B	PC3	HCQ	0.011	0.21	0.96	  1
Naive B	PC3	MMF	0.015	0.24	0.95	  1
Naive B	PC3	TAC	0.27	0.24	0.26	0.82
Naive B	PC4	InactivevsHC	-0.079	0.17	0.65	0.95
Naive B	PC4	LDAvsInactive	0.3	0.26	0.25	0.82
Naive B	PC4	MDAvsInactive	0.56	0.29	0.059	0.57
Naive B	PC4	HDAvsInactive	0.8	0.29	0.0075	0.27
Naive B	PC4	constitutional	0.19	0.34	0.58	0.94
Naive B	PC4	mucocutaneous	0.44	0.25	0.08	0.62
Naive B	PC4	musculoskeletal	0.19	0.26	0.48	0.92
Naive B	PC4	renal	0.31	0.25	0.21	0.79
Naive B	PC4	extrarenal	0.024	0.36	0.95	  1
Naive B	PC4	hematological	-0.67	0.32	0.04	0.5
Naive B	PC4	serological	0.26	0.21	0.22	0.8
Naive B	PC4	HCQ	0.12	0.22	0.58	0.94
Naive B	PC4	MMF	0.041	0.25	0.87	0.99
Naive B	PC4	TAC	-0.4	0.25	0.11	0.66
Naive B	PC5	InactivevsHC	0.99	0.17	8.1e-08	3.5e-05
Naive B	PC5	LDAvsInactive	0.0065	0.27	0.98	  1
Naive B	PC5	MDAvsInactive	-0.21	0.29	0.48	0.92
Naive B	PC5	HDAvsInactive	-0.46	0.3	0.14	0.71
Naive B	PC5	constitutional	-0.26	0.32	0.42	0.89
Naive B	PC5	mucocutaneous	-0.17	0.23	0.46	0.91
Naive B	PC5	musculoskeletal	-0.28	0.25	0.26	0.82
Naive B	PC5	renal	0.041	0.23	0.86	0.99
Naive B	PC5	extrarenal	0.075	0.34	0.83	0.99
Naive B	PC5	hematological	-0.28	0.3	0.36	0.88
Naive B	PC5	serological	-0.1	0.2	0.6	0.94
Naive B	PC5	HCQ	0.11	0.2	0.58	0.94
Naive B	PC5	MMF	0.13	0.23	0.57	0.94
Naive B	PC5	TAC	0.15	0.23	0.52	0.92
Naive B	PC6	InactivevsHC	0.085	0.2	0.66	0.96
Naive B	PC6	LDAvsInactive	-0.12	0.27	0.66	0.96
Naive B	PC6	MDAvsInactive	0.041	0.32	0.9	0.99
Naive B	PC6	HDAvsInactive	-0.11	0.32	0.74	0.97
Naive B	PC6	constitutional	0.058	0.36	0.87	0.99
Naive B	PC6	mucocutaneous	0.2	0.26	0.45	0.91
Naive B	PC6	musculoskeletal	-0.35	0.27	0.21	0.79
Naive B	PC6	renal	0.032	0.26	0.9	0.99
Naive B	PC6	extrarenal	-0.16	0.38	0.68	0.96
Naive B	PC6	hematological	0.16	0.33	0.64	0.95
Naive B	PC6	serological	-0.16	0.22	0.46	0.91
Naive B	PC6	HCQ	0.29	0.22	0.19	0.78
Naive B	PC6	MMF	-0.28	0.25	0.27	0.83
Naive B	PC6	TAC	0.26	0.26	0.31	0.85
Naive B	PC7	InactivevsHC	-0.25	0.19	0.18	0.76
Naive B	PC7	LDAvsInactive	-0.11	0.24	0.66	0.96
Naive B	PC7	MDAvsInactive	0.24	0.35	0.49	0.92
Naive B	PC7	HDAvsInactive	0.94	0.28	0.0014	0.1
Naive B	PC7	constitutional	0.36	0.33	0.28	0.83
Naive B	PC7	mucocutaneous	-0.096	0.24	0.69	0.96
Naive B	PC7	musculoskeletal	0.71	0.25	0.0065	0.25
Naive B	PC7	renal	0.45	0.24	0.064	0.58
Naive B	PC7	extrarenal	0.57	0.35	0.11	0.66
Naive B	PC7	hematological	0.043	0.31	0.89	0.99
Naive B	PC7	serological	-0.1	0.2	0.62	0.95
Naive B	PC7	HCQ	0.19	0.21	0.37	0.88
Naive B	PC7	MMF	-0.43	0.24	0.07	0.59
Naive B	PC7	TAC	0.11	0.24	0.64	0.95
USM B	PC1	InactivevsHC	1.2	0.16	3.4e-12	6.4e-09
USM B	PC1	LDAvsInactive	-0.12	0.26	0.64	0.95
USM B	PC1	MDAvsInactive	0.079	0.31	0.8	0.98
USM B	PC1	HDAvsInactive	0.21	0.3	0.48	0.92
USM B	PC1	constitutional	0.26	0.29	0.37	0.88
USM B	PC1	mucocutaneous	0.27	0.22	0.21	0.79
USM B	PC1	musculoskeletal	-0.14	0.24	0.57	0.94
USM B	PC1	renal	0.26	0.22	0.22	0.8
USM B	PC1	extrarenal	-0.096	0.31	0.76	0.98
USM B	PC1	hematological	0.039	0.28	0.89	0.99
USM B	PC1	serological	-0.054	0.19	0.78	0.98
USM B	PC1	HCQ	0.05	0.19	0.8	0.98
USM B	PC1	MMF	-0.22	0.22	0.33	0.86
USM B	PC1	TAC	-0.04	0.22	0.86	0.99
USM B	PC2	InactivevsHC	-0.16	0.2	0.43	0.9
USM B	PC2	LDAvsInactive	0.19	0.3	0.52	0.92
USM B	PC2	MDAvsInactive	0.4	0.34	0.25	0.82
USM B	PC2	HDAvsInactive	0.31	0.32	0.34	0.87
USM B	PC2	constitutional	0.55	0.35	0.12	0.68
USM B	PC2	mucocutaneous	0.14	0.26	0.6	0.94
USM B	PC2	musculoskeletal	0.13	0.29	0.65	0.95
USM B	PC2	renal	0.37	0.26	0.15	0.73
USM B	PC2	extrarenal	-0.53	0.37	0.15	0.73
USM B	PC2	hematological	-0.011	0.33	0.97	  1
USM B	PC2	serological	-0.22	0.23	0.33	0.86
USM B	PC2	HCQ	-0.016	0.23	0.94	  1
USM B	PC2	MMF	-0.15	0.27	0.58	0.94
USM B	PC2	TAC	0.24	0.27	0.37	0.88
USM B	PC3	InactivevsHC	0.13	0.22	0.54	0.93
USM B	PC3	LDAvsInactive	-0.38	0.29	0.19	0.78
USM B	PC3	MDAvsInactive	0.091	0.33	0.79	0.98
USM B	PC3	HDAvsInactive	0.18	0.29	0.54	0.93
USM B	PC3	constitutional	-0.32	0.33	0.34	0.86
USM B	PC3	mucocutaneous	-0.11	0.25	0.66	0.96
USM B	PC3	musculoskeletal	0.11	0.27	0.69	0.96
USM B	PC3	renal	0.27	0.24	0.28	0.83
USM B	PC3	extrarenal	0.24	0.35	0.5	0.92
USM B	PC3	hematological	0.4	0.32	0.21	0.79
USM B	PC3	serological	-0.053	0.22	0.81	0.99
USM B	PC3	HCQ	-0.073	0.22	0.74	0.97
USM B	PC3	MMF	0.0036	0.25	0.99	  1
USM B	PC3	TAC	0.17	0.25	0.49	0.92
USM B	PC4	InactivevsHC	0.11	0.15	0.47	0.91
USM B	PC4	LDAvsInactive	0.51	0.24	0.038	0.49
USM B	PC4	MDAvsInactive	0.67	0.3	0.031	0.46
USM B	PC4	HDAvsInactive	1.6	0.3	2.2e-06	0.0007
USM B	PC4	constitutional	0.02	0.29	0.95	  1
USM B	PC4	mucocutaneous	0.33	0.21	0.13	0.7
USM B	PC4	musculoskeletal	0.34	0.24	0.15	0.73
USM B	PC4	renal	0.38	0.21	0.075	0.6
USM B	PC4	extrarenal	0.81	0.3	0.0083	0.28
USM B	PC4	hematological	-0.28	0.27	0.3	0.84
USM B	PC4	serological	0.58	0.19	0.0025	0.14
USM B	PC4	HCQ	-0.22	0.19	0.26	0.82
USM B	PC4	MMF	0.27	0.22	0.21	0.79
USM B	PC4	TAC	-0.27	0.22	0.22	0.8
USM B	PC5	InactivevsHC	0.32	0.19	0.095	0.64
USM B	PC5	LDAvsInactive	-0.088	0.29	0.77	0.98
USM B	PC5	MDAvsInactive	0.46	0.34	0.18	0.77
USM B	PC5	HDAvsInactive	0.24	0.33	0.46	0.91
USM B	PC5	constitutional	-0.2	0.34	0.56	0.94
USM B	PC5	mucocutaneous	0.15	0.26	0.55	0.93
USM B	PC5	musculoskeletal	0.32	0.28	0.27	0.83
USM B	PC5	renal	0.094	0.25	0.71	0.97
USM B	PC5	extrarenal	-0.15	0.36	0.68	0.96
USM B	PC5	hematological	-0.19	0.33	0.57	0.94
USM B	PC5	serological	0.094	0.22	0.68	0.96
USM B	PC5	HCQ	0.37	0.22	0.097	0.65
USM B	PC5	MMF	0.46	0.25	0.072	0.6
USM B	PC5	TAC	0.27	0.26	0.29	0.83
USM B	PC6	InactivevsHC	0.49	0.18	0.0068	0.26
USM B	PC6	LDAvsInactive	0.36	0.25	0.15	0.73
USM B	PC6	MDAvsInactive	0.23	0.3	0.44	0.9
USM B	PC6	HDAvsInactive	-0.34	0.29	0.25	0.82
USM B	PC6	constitutional	-0.32	0.32	0.32	0.85
USM B	PC6	mucocutaneous	0.15	0.24	0.53	0.93
USM B	PC6	musculoskeletal	-0.19	0.27	0.48	0.92
USM B	PC6	renal	-0.046	0.24	0.85	0.99
USM B	PC6	extrarenal	-0.18	0.34	0.59	0.94
USM B	PC6	hematological	0.11	0.31	0.71	0.97
USM B	PC6	serological	-0.032	0.21	0.88	0.99
USM B	PC6	HCQ	0.13	0.21	0.52	0.92
USM B	PC6	MMF	0.63	0.24	0.0087	0.29
USM B	PC6	TAC	0.088	0.24	0.71	0.97
USM B	PC7	InactivevsHC	-0.52	0.18	0.0057	0.24
USM B	PC7	LDAvsInactive	0.091	0.26	0.73	0.97
USM B	PC7	MDAvsInactive	0.51	0.32	0.12	0.68
USM B	PC7	HDAvsInactive	1.1	0.28	0.00029	0.035
USM B	PC7	constitutional	0.43	0.32	0.18	0.77
USM B	PC7	mucocutaneous	0.35	0.24	0.15	0.73
USM B	PC7	musculoskeletal	0.33	0.27	0.22	0.8
USM B	PC7	renal	0.035	0.24	0.88	0.99
USM B	PC7	extrarenal	0.053	0.34	0.88	0.99
USM B	PC7	hematological	0.86	0.31	0.0059	0.24
USM B	PC7	serological	-0.042	0.21	0.84	0.99
USM B	PC7	HCQ	0.27	0.22	0.22	0.8
USM B	PC7	MMF	-0.18	0.25	0.47	0.91
USM B	PC7	TAC	0.067	0.25	0.79	0.98
SM B	PC1	InactivevsHC	1.1	0.16	6.1e-10	4.6e-07
SM B	PC1	LDAvsInactive	0.056	0.26	0.83	0.99
SM B	PC1	MDAvsInactive	0.0074	0.28	0.98	  1
SM B	PC1	HDAvsInactive	0.3	0.27	0.27	0.83
SM B	PC1	constitutional	0.085	0.29	0.77	0.98
SM B	PC1	mucocutaneous	0.073	0.21	0.73	0.97
SM B	PC1	musculoskeletal	-0.23	0.23	0.32	0.85
SM B	PC1	renal	0.094	0.21	0.66	0.96
SM B	PC1	extrarenal	0.22	0.3	0.47	0.91
SM B	PC1	hematological	-0.078	0.27	0.78	0.98
SM B	PC1	serological	0.27	0.18	0.13	0.71
SM B	PC1	HCQ	-0.3	0.18	0.11	0.66
SM B	PC1	MMF	-0.29	0.21	0.17	0.75
SM B	PC1	TAC	-0.19	0.21	0.37	0.88
SM B	PC2	InactivevsHC	-0.025	0.2	0.9	0.99
SM B	PC2	LDAvsInactive	0.099	0.24	0.68	0.96
SM B	PC2	MDAvsInactive	0.45	0.34	0.2	0.79
SM B	PC2	HDAvsInactive	0.66	0.23	0.0063	0.25
SM B	PC2	constitutional	-0.077	0.32	0.81	0.99
SM B	PC2	mucocutaneous	0.18	0.24	0.45	0.91
SM B	PC2	musculoskeletal	0.39	0.25	0.13	0.71
SM B	PC2	renal	0.34	0.23	0.15	0.73
SM B	PC2	extrarenal	0.042	0.33	0.9	0.99
SM B	PC2	hematological	-0.33	0.3	0.27	0.83
SM B	PC2	serological	0.16	0.2	0.42	0.9
SM B	PC2	HCQ	-0.086	0.2	0.67	0.96
SM B	PC2	MMF	-0.094	0.23	0.69	0.96
SM B	PC2	TAC	0.41	0.24	0.085	0.62
SM B	PC3	InactivevsHC	0.087	0.2	0.66	0.96
SM B	PC3	LDAvsInactive	0.38	0.23	0.097	0.65
SM B	PC3	MDAvsInactive	0.39	0.32	0.23	0.8
SM B	PC3	HDAvsInactive	0.86	0.27	0.0026	0.15
SM B	PC3	constitutional	0.37	0.3	0.22	0.8
SM B	PC3	mucocutaneous	0.4	0.22	0.076	0.6
SM B	PC3	musculoskeletal	-0.12	0.24	0.63	0.95
SM B	PC3	renal	0.27	0.22	0.23	0.81
SM B	PC3	extrarenal	0.3	0.32	0.35	0.87
SM B	PC3	hematological	-0.17	0.29	0.55	0.93
SM B	PC3	serological	0.022	0.19	0.91	0.99
SM B	PC3	HCQ	0.092	0.2	0.64	0.95
SM B	PC3	MMF	0.099	0.22	0.66	0.96
SM B	PC3	TAC	-0.39	0.23	0.095	0.64
SM B	PC4	InactivevsHC	-0.016	0.17	0.93	  1
SM B	PC4	LDAvsInactive	0.17	0.23	0.46	0.91
SM B	PC4	MDAvsInactive	0.56	0.26	0.035	0.48
SM B	PC4	HDAvsInactive	1.3	0.27	1e-05	0.0026
SM B	PC4	constitutional	0.48	0.29	0.098	0.65
SM B	PC4	mucocutaneous	0.16	0.21	0.45	0.91
SM B	PC4	musculoskeletal	0.55	0.23	0.017	0.39
SM B	PC4	renal	0.46	0.21	0.031	0.46
SM B	PC4	extrarenal	0.17	0.3	0.57	0.94
SM B	PC4	hematological	0.85	0.28	0.0025	0.14
SM B	PC4	serological	0.31	0.18	0.091	0.64
SM B	PC4	HCQ	0.23	0.19	0.23	0.8
SM B	PC4	MMF	0.3	0.22	0.17	0.75
SM B	PC4	TAC	0.025	0.22	0.91	0.99
SM B	PC5	InactivevsHC	0.32	0.18	0.08	0.62
SM B	PC5	LDAvsInactive	0.073	0.27	0.79	0.98
SM B	PC5	MDAvsInactive	0.75	0.34	0.03	0.46
SM B	PC5	HDAvsInactive	0.4	0.35	0.26	0.82
SM B	PC5	constitutional	-0.7	0.32	0.032	0.47
SM B	PC5	mucocutaneous	0.58	0.24	0.017	0.39
SM B	PC5	musculoskeletal	0.31	0.26	0.23	0.8
SM B	PC5	renal	0.034	0.24	0.89	0.99
SM B	PC5	extrarenal	0.091	0.34	0.79	0.98
SM B	PC5	hematological	-0.35	0.31	0.26	0.82
SM B	PC5	serological	0.029	0.21	0.89	0.99
SM B	PC5	HCQ	0.35	0.21	0.093	0.64
SM B	PC5	MMF	-0.17	0.24	0.48	0.92
SM B	PC5	TAC	0.36	0.24	0.14	0.72
SM B	PC6	InactivevsHC	0.59	0.16	0.00035	0.04
SM B	PC6	LDAvsInactive	0.2	0.22	0.38	0.88
SM B	PC6	MDAvsInactive	-0.77	0.34	0.027	0.44
SM B	PC6	HDAvsInactive	-0.72	0.25	0.0054	0.23
SM B	PC6	constitutional	-0.21	0.3	0.49	0.92
SM B	PC6	mucocutaneous	-0.015	0.22	0.95	  1
SM B	PC6	musculoskeletal	-0.93	0.24	0.00018	0.024
SM B	PC6	renal	-0.52	0.22	0.021	0.41
SM B	PC6	extrarenal	0.052	0.32	0.87	0.99
SM B	PC6	hematological	-0.41	0.29	0.15	0.73
SM B	PC6	serological	0.12	0.19	0.52	0.92
SM B	PC6	HCQ	0.37	0.2	0.068	0.59
SM B	PC6	MMF	0.12	0.23	0.61	0.95
SM B	PC6	TAC	0.068	0.23	0.77	0.98
SM B	PC7	InactivevsHC	0.35	0.19	0.074	0.6
SM B	PC7	LDAvsInactive	-0.097	0.26	0.71	0.97
SM B	PC7	MDAvsInactive	-0.13	0.3	0.66	0.96
SM B	PC7	HDAvsInactive	-0.18	0.29	0.55	0.93
SM B	PC7	constitutional	0.068	0.33	0.84	0.99
SM B	PC7	mucocutaneous	-0.062	0.25	0.8	0.98
SM B	PC7	musculoskeletal	-0.11	0.26	0.68	0.96
SM B	PC7	renal	0.34	0.24	0.16	0.74
SM B	PC7	extrarenal	0.017	0.35	0.96	  1
SM B	PC7	hematological	-0.28	0.32	0.37	0.88
SM B	PC7	serological	-0.035	0.21	0.87	0.99
SM B	PC7	HCQ	-0.016	0.21	0.94	  1
SM B	PC7	MMF	0.38	0.24	0.12	0.68
SM B	PC7	TAC	0.086	0.25	0.73	0.97
DN B	PC1	InactivevsHC	0.92	0.18	2.2e-06	0.0007
DN B	PC1	LDAvsInactive	0.062	0.26	0.81	0.99
DN B	PC1	MDAvsInactive	-0.039	0.28	0.89	0.99
DN B	PC1	HDAvsInactive	0.15	0.27	0.59	0.94
DN B	PC1	constitutional	0.21	0.3	0.48	0.92
DN B	PC1	mucocutaneous	-0.055	0.22	0.81	0.99
DN B	PC1	musculoskeletal	-0.072	0.24	0.76	0.98
DN B	PC1	renal	0.14	0.22	0.54	0.93
DN B	PC1	extrarenal	0.12	0.32	0.71	0.97
DN B	PC1	hematological	-0.021	0.29	0.94	  1
DN B	PC1	serological	0.18	0.19	0.34	0.87
DN B	PC1	HCQ	-0.33	0.19	0.086	0.62
DN B	PC1	MMF	-0.31	0.22	0.16	0.74
DN B	PC1	TAC	0.015	0.22	0.95	  1
DN B	PC2	InactivevsHC	0.61	0.18	0.00076	0.07
DN B	PC2	LDAvsInactive	0.12	0.27	0.65	0.95
DN B	PC2	MDAvsInactive	0.18	0.32	0.58	0.94
DN B	PC2	HDAvsInactive	0.45	0.29	0.13	0.7
DN B	PC2	constitutional	-0.19	0.32	0.55	0.93
DN B	PC2	mucocutaneous	0.28	0.24	0.24	0.82
DN B	PC2	musculoskeletal	-0.15	0.25	0.56	0.94
DN B	PC2	renal	0.3	0.23	0.2	0.79
DN B	PC2	extrarenal	-0.076	0.33	0.82	0.99
DN B	PC2	hematological	0.22	0.3	0.47	0.91
DN B	PC2	serological	0.0059	0.2	0.98	  1
DN B	PC2	HCQ	-0.17	0.2	0.4	0.89
DN B	PC2	MMF	0.13	0.23	0.57	0.94
DN B	PC2	TAC	-0.5	0.24	0.039	0.5
DN B	PC3	InactivevsHC	-0.049	0.2	0.81	0.99
DN B	PC3	LDAvsInactive	0.25	0.3	0.4	0.89
DN B	PC3	MDAvsInactive	0.48	0.3	0.11	0.67
DN B	PC3	HDAvsInactive	0.55	0.28	0.051	0.55
DN B	PC3	constitutional	0.38	0.33	0.26	0.82
DN B	PC3	mucocutaneous	-0.015	0.25	0.95	  1
DN B	PC3	musculoskeletal	0.11	0.27	0.68	0.96
DN B	PC3	renal	0.49	0.25	0.048	0.54
DN B	PC3	extrarenal	0.0014	0.35	  1	  1
DN B	PC3	hematological	0.18	0.32	0.57	0.94
DN B	PC3	serological	-0.15	0.21	0.47	0.91
DN B	PC3	HCQ	-0.04	0.22	0.85	0.99
DN B	PC3	MMF	0.3	0.25	0.23	0.8
DN B	PC3	TAC	0.27	0.25	0.28	0.83
DN B	PC4	InactivevsHC	0.031	0.22	0.89	0.99
DN B	PC4	LDAvsInactive	0.27	0.28	0.34	0.86
DN B	PC4	MDAvsInactive	0.3	0.31	0.35	0.87
DN B	PC4	HDAvsInactive	0.55	0.33	0.1	0.65
DN B	PC4	constitutional	0.46	0.31	0.14	0.72
DN B	PC4	mucocutaneous	0.3	0.23	0.19	0.78
DN B	PC4	musculoskeletal	0.024	0.25	0.92	  1
DN B	PC4	renal	-0.094	0.23	0.68	0.96
DN B	PC4	extrarenal	-0.059	0.33	0.86	0.99
